Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.01998	0.04998	-0.07522	0.08308	0.05524	0.09695
0.32069	-0.02623	0.04973	-0.04675	0.08525	0.02053	0.09870
0.34138	0.02492	0.04687	-0.03045	0.08397	0.05537	0.09617
0.36207	0.02233	0.04707	-0.01440	0.08211	0.03674	0.09464
0.38276	-0.00798	0.04786	-0.01194	0.08309	0.00396	0.09589
0.40345	-0.00586	0.04732	-0.01464	0.08447	0.00878	0.09682
0.42414	-0.02258	0.04800	-0.07383	0.08843	0.05125	0.10062
0.44483	-0.02511	0.04795	-0.10933	0.09049	0.08422	0.10241
0.46552	-0.03265	0.04733	-0.13058	0.09159	0.09793	0.10310
0.48621	-0.05817	0.04825	-0.09833	0.08736	0.04016	0.09980
0.50690	-0.05919	0.04768	-0.09963	0.08559	0.04044	0.09797
0.52759	-0.03761	0.04552	-0.13494	0.08596	0.09733	0.09726
0.54828	-0.04367	0.04517	-0.14144	0.08541	0.09777	0.09662
0.56897	-0.03018	0.04368	-0.12226	0.07779	0.09208	0.08921
0.58966	-0.04645	0.04354	-0.12907	0.07656	0.08261	0.08808
0.61034	-0.04839	0.04179	-0.11451	0.07752	0.06612	0.08807
0.63103	-0.05217	0.04127	-0.11775	0.07622	0.06557	0.08667
0.65172	-0.04132	0.04010	-0.11645	0.07427	0.07513	0.08440
0.67241	-0.06133	0.04007	-0.11139	0.07195	0.05006	0.08235
0.69310	-0.04815	0.03837	-0.08651	0.06802	0.03836	0.07809
0.71379	-0.04113	0.03712	-0.09724	0.06722	0.05611	0.07679
0.73448	-0.05789	0.03678	-0.10241	0.06532	0.04452	0.07496
0.75517	-0.04583	0.03513	-0.10754	0.06403	0.06170	0.07303
0.77586	-0.02131	0.03325	-0.10263	0.06170	0.08132	0.07009
0.79655	-0.00530	0.03167	-0.08240	0.05903	0.07710	0.06699
0.81724	-0.01013	0.03081	-0.06371	0.05655	0.05358	0.06440
0.83793	-0.01551	0.03000	-0.05357	0.05468	0.03806	0.06237
0.85862	-0.03171	0.02949	-0.06962	0.05358	0.03791	0.06116
0.87931	-0.05396	0.02923	-0.06662	0.05152	0.01266	0.05923
0.90000	-0.05743	0.02801	-0.03752	0.04846	-0.01991	0.05597
