Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.02828	0.05191	-0.08980	0.07612	0.06152	0.09214
0.32069	-0.02405	0.05024	-0.07613	0.07416	0.05208	0.08957
0.34138	-0.06625	0.04848	-0.05299	0.06849	-0.01326	0.08391
0.36207	-0.03815	0.04603	-0.10276	0.07173	0.06461	0.08523
0.38276	-0.00544	0.04342	-0.08628	0.06884	0.08084	0.08139
0.40345	-0.03177	0.04330	-0.01063	0.06168	-0.02113	0.07536
0.42414	-0.02300	0.04186	-0.01218	0.06036	-0.01082	0.07345
0.44483	-0.02094	0.04109	-0.00151	0.05757	-0.01943	0.07073
0.46552	-0.02505	0.04006	0.00299	0.05764	-0.02804	0.07019
0.48621	-0.01169	0.03845	-0.00695	0.05768	-0.00474	0.06932
0.50690	-0.00667	0.03522	-0.03971	0.05642	0.03304	0.06651
0.52759	-0.01033	0.03456	-0.01995	0.05352	0.00963	0.06370
0.54828	-0.01975	0.03435	-0.01446	0.05228	-0.00529	0.06255
0.56897	-0.01285	0.03373	-0.01597	0.05279	0.00311	0.06265
0.58966	-0.00719	0.03334	-0.01282	0.05401	0.00564	0.06347
0.61034	0.00495	0.03235	0.00038	0.05266	0.00457	0.06180
0.63103	-0.01890	0.03292	0.03675	0.05081	-0.05565	0.06054
0.65172	-0.02419	0.03302	0.03417	0.05106	-0.05836	0.06081
0.67241	-0.04009	0.03218	0.01987	0.04983	-0.05996	0.05932
0.69310	-0.05343	0.03232	0.01232	0.05010	-0.06575	0.05962
0.71379	-0.05344	0.03369	0.00415	0.05108	-0.05759	0.06119
0.73448	-0.03709	0.03339	0.00065	0.05236	-0.03774	0.06211
0.75517	-0.01900	0.03268	0.02034	0.05223	-0.03935	0.06161
0.77586	-0.02909	0.03321	0.03749	0.05222	-0.06658	0.06188
0.79655	-0.02587	0.03293	0.04090	0.05178	-0.06677	0.06137
0.81724	-0.02752	0.03239	0.00806	0.05393	-0.03558	0.06291
0.83793	-0.04236	0.03054	-0.00299	0.05014	-0.03937	0.05871
0.85862	-0.03805	0.02995	0.02507	0.04877	-0.06312	0.05724
0.87931	-0.03879	0.02962	0.02387	0.04871	-0.06266	0.05700
0.90000	-0.04365	0.02897	0.03362	0.04644	-0.07727	0.05473
