mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
500,0.1,,,,,,,,,,,
500,0.5,1328261.2261390686,3329.6895141601562,2958.7091064453125,790.1552124023438,114.85120855102286,7193.405041558835,0.0025068032165922296,0.0022275054396081093,0.0005948793782824876,8.646733510761834e-05,0.005415655369590445
500,1.0,5498128.108139038,8143.692138671875,7929.28759765625,2529.7373046875,193.78593063354492,18796.50297164917,0.0014811754070656396,0.0014421794912196201,0.0004601088324847609,3.524580126583046e-05,0.003418709532035851
500,1.5,20158032.933502197,30838.5166015625,28511.345703125,7742.655517578125,625.973388671875,67718.4912109375,0.0015298375939405068,0.0014143912651189187,0.00038409777100373744,3.105329725062217e-05,0.0033593799273137852
500,2.0,56819322.0010376,89276.2890625,89575.224609375,25742.93115234375,2306.5681762695312,206901.01300048828,0.0015712311572614276,0.0015764923173095806,0.0004530664964969777,4.059478527792729e-05,0.003641384756345913
500,2.5,122999250.3717041,389929.6171875,288794.546875,50527.7255859375,2258.383834838867,731510.2734832764,0.003170178810107635,0.002347937454921571,0.0004107970205773008,1.8360956087244633e-05,0.005947274241693752
500,3.0,246196964.4970703,828713.15625,610898.078125,115991.17578125,5830.254943847656,1561432.6651000977,0.003366057570786424,0.0024813387905612033,0.0004711316243000643,2.3681262503612366e-05,0.006342209248151304
500,3.5,443692632.33154297,1701359.53125,1236027.21875,201279.296875,8397.067260742188,3147063.114135742,0.0038345453750484714,0.002785773593433024,0.0004536457948767491,1.8925415138441153e-05,0.0070928901784966854
600,0.1,236153.28585505486,,,,,,,,,,
600,0.5,542104.215118885,2938.37744140625,2880.8228149414062,991.613525390625,54.38652992248535,6865.200311660767,0.005420318380593767,0.0053141494469096376,0.001829193534629059,0.00010032486080293293,0.012663986222935396
600,1.0,2459518.4546279907,7376.2777099609375,6794.8035888671875,2103.2440490722656,409.7358589172363,16684.061206817627,0.0029990739431457612,0.002762656070370865,0.0008551446504150697,0.00016659190263291197,0.006783466566564608
600,1.5,10070089.762496948,24786.529296875,25908.8212890625,7180.59375,791.0976104736328,58667.04194641113,0.0024614010283388983,0.0025728490907352378,0.0007130615435765016,7.855914188767616e-05,0.005825870804538314
600,2.0,28800925.744934082,74151.9140625,74463.8203125,23684.42041015625,2156.6209106445312,174456.77569580078,0.0025746364793688237,0.0025854662093838343,0.0008223492751555808,7.48802635631901e-05,0.006057332227471428
600,2.5,64902375.886535645,332242.578125,238231.078125,51841.1103515625,3471.3825073242188,625786.1491088867,0.005119112722557905,0.0036706064280525416,0.0007987552018464277,5.3486216180945326e-05,0.009641960568637819
600,3.0,130768647.08740234,708269.46875,535351.609375,106462.1796875,6584.831848144531,1356668.0896606445,0.00541620246538615,0.004093883521003204,0.0008141261843623989,5.035482124200155e-05,0.010374566991993754
600,3.5,235382551.64794922,1346350.9375,1088164.03125,220984.6484375,13152.822265625,2668652.439453125,0.005719841713304539,0.0046229596188485395,0.0009388319010493883,5.587849300443079e-05,0.011337511726206898
700,0.1,87495.33902049065,,,,,,,,,,
700,0.5,245947.013245821,2373.071533203125,2282.0756225585938,714.3186645507812,64.66031169891357,5434.126132011414,0.009648710516485392,0.009278728749097218,0.0029043599884534016,0.00026290342316247765,0.02209470267719849
700,1.0,1398491.2246704102,6246.650390625,6917.8289794921875,1769.9391784667969,71.66845798492432,15006.087006568909,0.004466706891276476,0.004946637388534596,0.0012656062099237898,5.124698440765318e-05,0.010730197474142516
700,1.5,5487697.132110596,21571.357421875,22110.09521484375,6780.9967041015625,602.4077758789062,51064.85711669922,0.003930857863064784,0.0040290297883731965,0.001235672549132382,0.00010977423887954567,0.009305334439449909
700,2.0,16204026.369628906,59667.51171875,66532.609375,18500.57177734375,2186.9007568359375,146887.5936279297,0.0036822645407800867,0.0041059307024889575,0.0011417268372272734,0.00013496033065799192,0.00906488241115431
