category,N_A,N_generated,efficiency,efficiency_percent
0SVJ,34.836539475247264,22539.391845464706,0.0015455847129370061,0.1545584712937006
1SVJ,104.5646811593324,22539.391845464706,0.004639197094413731,0.46391970944137306
2SVJ,117.53571627475321,22539.391845464706,0.005214680018014919,0.5214680018014919
3PSVJ,48.267796505242586,22539.391845464706,0.002141486196086291,0.21414861960862913
Inclusive,305.20473341457546,22539.391845464706,0.013540948021451947,1.3540948021451946
