signal,mMed,mDark,rinv,yukawa,year,category,region,cross_section,signal_yield_unit_xsec,signal_yield_scaled,background_yield,signal_background_ratio
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2017,2SVJ,D,41.7599983215332,67.97882843017578,2838.795761143934,2542.0,1.116756790379203
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2017,3PSVJ,A,41.7599983215332,2.4897103309631348,103.97029924212438,695.0,0.149597552866366
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2017,3PSVJ,B,41.7599983215332,100.07374024391174,4179.079224615304,305.0,13.701899097099355
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2017,3PSVJ,C,41.7599983215332,2.4734914302825928,103.29299797692784,926.0,0.1115475140139609
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2017,3PSVJ,D,41.7599983215332,79.99077606201172,3340.414674087748,438.0,7.626517520748282
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,0SVJ,A,41.7599983215332,25.32718563079834,1057.6632294312983,49142.0,0.0215225922720137
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,0SVJ,B,41.7599983215332,38.91105270385742,1624.925495602176,6523.0,0.2491070819564887
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,0SVJ,C,41.7599983215332,44.82792663574219,1872.0141410664075,70693.0,0.0264808982652654
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,0SVJ,D,41.7599983215332,21.74932861328125,908.2519263850992,8764.0,0.1036344051101208
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,1SVJ,A,41.7599983215332,84.02103233337402,3508.718169215186,35202.0,0.0996738301578088
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,1SVJ,B,41.7599983215332,103.9430332183838,4340.660892734778,7136.0,0.6082764703944475
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,1SVJ,C,41.7599983215332,107.01780700683594,4469.063440979633,50266.0,0.0889082767870853
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,1SVJ,D,41.7599983215332,170.03173828125,7100.525105232373,10039.0,0.7072940636749051
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,2SVJ,A,41.7599983215332,88.21606850624084,3683.902872752876,8813.0,0.4180078149044452
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,2SVJ,B,41.7599983215332,128.06608200073242,5348.03936939592,2731.0,1.958271464443764
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,2SVJ,C,41.7599983215332,21.36824989318848,892.3380796736529,12429.0,0.0717948410711765
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,2SVJ,D,41.7599983215332,110.38697814941406,4609.760022238654,4005.0,1.1510012539921732
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,3PSVJ,A,41.7599983215332,8.998348236083984,375.7710072354385,987.0,0.3807203720723793
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,3PSVJ,B,41.7599983215332,30.635133743286133,1279.323133699574,438.0,2.920829072373457
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,3PSVJ,C,41.7599983215332,7.118451118469238,297.26650675919154,1338.0,0.2221722770995452
t-channel_mMed-500_mDark-20_rinv-0_alpha-peak_yukawa-1,500,20,0.0,1.0,2018,3PSVJ,D,41.7599983215332,63.90826416015625,2668.8090040602256,680.0,3.9247191236179786
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,0SVJ,A,19.64999961853028,9.999999747378752e-05,0.0019649999122129,25140.0,7.8162287677524e-08
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,0SVJ,B,19.64999961853028,14.319948196411133,281.3869765968521,3538.0,0.07953278027045
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,0SVJ,C,19.64999961853028,37.97660446166992,746.2402631848892,31234.0,0.0238919210855122
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,0SVJ,D,19.64999961853028,44.79888916015625,880.2981549076504,4121.0,0.2136127529501699
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,1SVJ,A,19.64999961853028,26.16861343383789,514.2132439923809,18741.0,0.0274378765269932
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,1SVJ,B,19.64999961853028,35.75158134102821,702.5185597130586,3974.0,0.1767787014879362
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,1SVJ,C,19.64999961853028,71.0311050415039,1395.7611869693358,23117.0,0.0603781280862281
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,1SVJ,D,19.64999961853028,33.00243377685547,648.4978111257807,4870.0,0.1331617681983122
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,2SVJ,A,19.64999961853028,30.0810841023922,591.0932911369839,4901.0,0.1206066702993233
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,2SVJ,B,19.64999961853028,56.19275856018066,1104.1876842717138,1598.0,0.6909810289560161
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,2SVJ,C,19.64999961853028,20.705602645874023,406.865084092864,6260.0,0.0649944223790517
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,2SVJ,D,19.64999961853028,49.5755500793457,974.1595401475718,2067.0,0.4712915046674271
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,3PSVJ,A,19.64999961853028,48.27641773223877,948.6315900225002,572.0,1.6584468357036717
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,3PSVJ,B,19.64999961853028,10.565098762512209,207.6041866530996,269.0,0.7717627756620804
