mMed,rinv,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
500,0.0,5760384.561576843,49.35159647464752,323.10600113868713,242.31364995241165,141.7359368801117,756.507184445858,8.567413502882184e-06,5.609104699257098e-05,4.2065533535504254e-05,2.460529073449794e-05,0.00013132928476545537
500,0.1,5372713.964996338,384.8587625026703,1916.6624636650085,2244.9566078186035,900.9439348578453,5447.421768844128,7.163209599655891e-05,0.0003567400900461514,0.00041784405841157295,0.00016768879577948263,0.0010139050402337658
500,0.2,5478649.408226013,2049.8043649196625,5308.0637900829315,4490.215312957764,1665.9946923851967,13514.078160345554,0.0003741441023479159,0.0009688635637303323,0.0008195843497880795,0.00030408857516667524,0.002466680591033003
500,0.3,5498128.108139038,2800.800384402275,7344.773057073355,6459.440656304359,2191.4940034151077,18796.508101195097,0.0005094098080865321,0.0013358679377078672,0.0011748436066344584,0.00039858911256923527,0.003418710464998093
500,0.4,5513020.741653442,4653.790256679058,9789.017558336258,5958.5687918663025,1800.3787021636963,22201.755309045315,0.0008441452471813687,0.0017756177633027326,0.0010808174086570249,0.00032656846156245986,0.004027148880703586
500,0.5,5515569.016532898,5784.645961523056,10118.867800056934,5520.476540207863,1266.7692477703094,22690.759549558163,0.0010487849837765787,0.0018346008851898444,0.0010008897583658647,0.00022967154322122945,0.004113947170553517
500,0.6,5511194.44858551,6734.761003732681,9545.38918659091,5032.645323038101,743.9656419530512,22056.761155314744,0.001222014767680935,0.00173200007287727,0.0009131678023680997,0.0001349917243700221,0.004002174367296327
500,0.7,5522204.967308044,6582.104619503021,7714.074856996536,3055.133740365505,325.37325739860535,17676.686474263668,0.001191934138350474,0.0013969193289029584,0.0005532452631606713,5.8920894701454334e-05,0.003201019625115558
500,0.8,5574912.368011475,6919.044810414314,5783.925065040588,1663.6328984498978,238.04321885108948,14604.64599275589,0.0012411037795168574,0.001037491656053361,0.0002984141792067849,4.26990063946059e-05,0.002619708621171609
500,0.9,5577667.086753845,4296.044456243515,3558.7393938302994,991.8533227443695,86.25100255012512,8932.888175368309,0.0007702224584981059,0.0006380336686428977,0.0001778258378130667,1.546363402630444e-05,0.0016015455989803749
600,0.0,2710519.1107177734,38.583725452423096,169.03913018107414,175.97166794538498,123.72533059120178,507.319854170084,1.4234810335724114e-05,6.236411671575001e-05,6.492175880611513e-05,4.564635980686299e-05,0.00018716704566445225
600,0.1,2321925.1635742188,438.3962742090225,1873.7470344305038,2048.945086300373,862.8228669166564,5223.911261856556,0.00018880723680783241,0.0008069799422588543,0.0008824337314758077,0.00037159805167384625,0.0022498189622163407
600,0.2,2418398.8208007812,1370.0782302320004,4171.644621312617,3441.8453619480133,1369.338580697775,10352.906794190407,0.0005665228656447738,0.0017249614023262304,0.0014231917963011362,0.0005662170229823214,0.004280893087254462
600,0.3,2459518.4546279907,2782.9761716127396,7089.611383259296,4803.1371166706085,2015.4356216788292,16691.160293221474,0.0011315126204384071,0.002882520100598969,0.0019528770388499064,0.0008194431791664152,0.0067863529390536975
600,0.4,2458807.3377990723,4084.4432516098022,8249.666045427322,5327.73455530405,1227.0014425516129,18888.845294892788,0.001661148146428532,0.0033551494330628455,0.0021667962647585934,0.0004990230115588993,0.00768211685580887
600,0.5,2479496.431465149,5599.471588253975,9262.736391752958,5389.2709448337555,1228.4981777668,21479.97710260749,0.0022583100008517513,0.0037357328989094584,0.00217353446306402,0.0004954627730764158,0.008663040135901646
600,0.6,2456929.3264198303,5499.102272748947,8498.64401769638,4410.114393055439,885.8800466060638,19293.74073010683,0.0022382012431599275,0.0034590510709074282,0.0017949699837242516,0.00036056391084595985,0.007852786208637568
600,0.7,2485399.625816345,6191.310166120529,6658.456262588501,2526.9248390197754,462.75012969970703,15839.441397428513,0.002491072301536601,0.0026790284320580794,0.0010167076605194993,0.00018618741424639664,0.006372995808360577
600,0.8,2537027.300891876,5731.629923105241,5275.114546597004,1617.7453430891037,245.1478979587555,12869.637710750103,0.0022591912673112827,0.002079250209385831,0.0006376538961643792,9.662800943157974e-05,0.0050727233822930725
600,0.9,2503610.1221084595,4225.830118179321,3600.341935157776,817.5217175483704,94.83323216438293,8738.52700304985,0.0016878946449619175,0.0014380601449740442,0.00032653715142351317,3.787859432542854e-05,0.0034903705356849036
700,0.0,1431817.206068039,6.099836554712965,112.23530340194702,163.05727815628052,15.847399873826362,297.23981798676687,4.260206211283024e-06,7.838661452474101e-05,0.0001138813512403986,1.1068032851306094e-05,0.00020759620482772872
700,0.1,1431816.930513382,313.35402975976467,1923.9854208230972,1284.3989732265472,891.2991774380207,4413.03760124743,0.0002188506247425156,0.001343737023792034,0.0008970413366784414,0.0006224952076229766,0.0030821241928359676
700,0.2,1431817.0149803162,1455.3220946788788,3926.6556980609894,3905.9633836746216,1468.2912538051605,10756.23243021965,0.001016416259516853,0.002742428436719598,0.0027279766498153526,0.0010254740923199225,0.007512295438371726
700,0.3,1398491.2246704102,2515.635022163391,6390.574817597866,4707.0705144405365,1401.8434383869171,15015.12379258871,0.001798820741800696,0.004569620963552322,0.0033658205581875403,0.001002397021631149,0.010736659285171707
700,0.4,1365732.7822494507,3445.373130440712,7747.006237983704,5298.425697803497,1587.4983744621277,18078.30344069004,0.0025227285858701863,0.005672417282994321,0.00387954786373118,0.0011623784645832507,0.013237072197178939
700,0.5,1384543.8112926483,4291.320246219635,8429.816460251808,5251.957091331482,1360.763914078474,19333.8577118814,0.0030994470606265177,0.006088515503443332,0.0037932762029596664,0.0009828247419690008,0.013964063508998517
700,0.6,1374093.6694335938,5018.298277616501,8192.015728354454,3350.586380004883,696.0912809371948,17256.991666913033,0.0036520787405163297,0.005961759311307526,0.0024383973629585284,0.0005065821176689695,0.012558817532451354
700,0.7,1334919.1061878204,5226.909562826157,6586.910302877426,2764.6355266571045,335.25785088539124,14913.713243246078,0.003915525321794848,0.0049343142010214525,0.0020710135272182747,0.00025114469433492486,0.0111719977443695
700,0.8,1301424.1177272797,5060.764904260635,4519.105404376984,1507.5908133983612,201.93175840377808,11289.392880439758,0.0038886361758059453,0.0034724309645258826,0.0011584162248592083,0.00015516214557051411,0.008674645510761551
700,0.9,1374824.199256897,3889.3108143806458,3106.6971789598465,856.7237559556961,69.56805944442749,7922.299808740616,0.002828951379007475,0.002259705044935229,0.0006231514956012281,5.0601421972372584e-05,0.005762409341516304
800,0.0,828467.6159095764,21.367849035355903,49.82569742202759,166.78332251310349,30.035789608955383,268.01265857944236,2.579201482956711e-05,6.0141997665562155e-05,0.00020131543986784772,3.625463329182641e-05,0.00032350408565480336
800,0.1,828467.6485347748,306.2950990200043,1133.0489974915981,1291.6193697452545,550.5050736069679,3281.468539863825,0.00036971280599998904,0.0013676442278651496,0.001559046236783788,0.0006644859030773132,0.0039608891737262395
800,0.2,804829.0656614304,1061.6162086725235,3025.3947736024857,3068.561666369438,1109.3396748900414,8264.912323534489,0.0013190579887917672,0.003759052577352104,0.003812687435496146,0.0013783543888022433,0.01026915239044226
800,0.3,795270.3885984421,1629.6780726909637,5400.662065029144,4028.0016302466393,1227.2324387431145,12285.574206709862,0.002049212564751787,0.006790975927755956,0.00506494607116638,0.0015431637545388153,0.015448298318212938
800,0.4,825953.5552453995,2383.644373178482,5664.493273854256,5098.425646066666,1227.7697299718857,14374.333023071289,0.002885930277847495,0.006858125663217559,0.0061727752289314495,0.001486487614436265,0.01740331878443277
800,0.5,825820.0811672211,3425.222823858261,6954.878369808197,4022.905396938324,900.1460552215576,15303.15264582634,0.004147662308013898,0.008421784028281455,0.004871406603787493,0.0010900026237546604,0.018530855563837507
800,0.6,826043.2190227509,4248.224594324827,6816.390824079514,3146.1963443756104,662.0779898762703,14872.889752656221,0.005142859957558495,0.00825185736908976,0.003808755125546231,0.000801505265861925,0.01800497771805641
800,0.7,802140.0970172882,4558.809674978256,5516.889271974564,2253.8640505075455,480.76846051216125,12810.331457972527,0.005683308554116579,0.006877712873959049,0.002809813471347972,0.0005993572223853054,0.015970192121808904
800,0.8,828467.6797819138,4132.88919711113,4646.131217002869,1472.745062470436,310.0610384941101,10561.826515078545,0.004988594362786818,0.005608101957852983,0.001777673527177454,0.00037425846060250745,0.012748628308419762
800,0.9,792442.3517036438,2744.4897208213806,2381.143721818924,507.5530949831009,51.9335732460022,5685.120110869408,0.0034633304428026836,0.0030048163335790763,0.0006404921366102284,6.553608995575772e-05,0.007174175002947746
900,0.0,512722.9495382309,12.794500425457954,57.98052237927914,64.62336122989656,32.4137309623693,167.81211499700294,2.4954023292659226e-05,0.00011308353260078882,0.00012603953321788642,6.321880265270316e-05,0.00032729589176403763
900,0.1,512722.980735302,192.94808903336525,838.111818395555,959.3673021197319,458.6123405098915,2449.0395500585437,0.0003763203450655872,0.0016346289319694803,0.0018711221032922927,0.0008944641799596933,0.004776535560287053
900,0.2,512722.94510126114,641.8645123243332,2074.954631149769,2162.998972415924,1014.5783692598343,5894.39648514986,0.0012518739768854444,0.00404693148799879,0.00421865062424452,0.001978804301530641,0.011496260390659397
900,0.3,512722.95265197754,1303.2588885426521,3340.442677438259,3309.8247816562653,963.9459451436996,8917.472292780876,0.002541838397914027,0.006515102669307768,0.0064553864119730265,0.0018800522585498529,0.017392379737744674
900,0.4,512722.96268224716,1780.87666118145,4005.6572813540706,3455.5850908756256,1040.3701310157776,10282.489164426923,0.0034733702034038276,0.007812517817417357,0.0067396729664654705,0.002029107737974537,0.02005466872526119
900,0.5,512722.94500112534,2393.484148979187,5164.476897656918,3021.1692880392075,605.8926743268967,11185.023009002209,0.004668182246015796,0.010072646344402594,0.005892401183708634,0.0011817155448847073,0.021814945319011732
900,0.6,512722.96268224716,2686.8924086093903,4961.01832100749,2546.140084207058,440.44754230976105,10634.4983561337,0.005240437047237445,0.009675826288439536,0.004965917794840393,0.0008590361157331707,0.020741217246250544
900,0.7,512722.9838490486,3289.4419310092926,4212.43234539032,1817.3067643642426,370.6940637230873,9689.875104486942,0.0064156318999300825,0.008215805567691319,0.0035444222740349746,0.0007229909237543051,0.01889885066541068
900,0.8,512723.0170536041,2906.937424182892,3164.9540519714355,1230.013994216919,145.61020064353943,7447.515671014786,0.005669605864171644,0.006172833960447198,0.0023989833756348088,0.0002839938832477189,0.01452541708350137
900,0.9,512723.04371356964,2227.3540620803833,1648.52112698555,497.1565375328064,38.433080196380615,4411.46480679512,0.004344166093936445,0.0032152272990220595,0.0009696395424944867,7.495875340030763e-05,0.008603991688853299
1000,0.0,332849.20907974243,4.538192732426978,52.923730581998825,52.2113471031189,36.15549619495869,145.8287666125034,1.3634380399983884e-05,0.00015900212209703527,0.00015686186320668213,0.00010862425148889786,0.00043812261719259916
1000,0.1,332849.2146730423,94.60236997902393,589.3386253714561,639.5312336087227,309.5168213993311,1632.9890503585339,0.0002842198984064055,0.00177058739931342,0.001921384234711006,0.0009299010114936561,0.004906092543924487
1000,0.2,332849.14467811584,378.3906334042549,1599.408311009407,1704.7856115400791,555.1738103032112,4237.758366256952,0.0011368232109179078,0.004805204809993207,0.005121796582018273,0.0016679442299306372,0.012731768832860025
1000,0.3,332849.31053876877,866.4091382026672,2335.163882255554,2229.1353044509888,681.5245554745197,6112.23288038373,0.002603007159006123,0.007015678892276284,0.0066971306049659046,0.0020475468444605322,0.018363363500708843
1000,0.4,332849.23473358154,1096.8988671004772,2683.434533596039,2285.2965189814568,735.5599411427975,6801.18986082077,0.00329548261686242,0.008062012026988459,0.006865860817768287,0.002209889236283066,0.020433244697902232
1000,0.5,332849.25030708313,1676.0517299175262,3314.702022075653,2055.67563021183,608.718173712492,7655.147555917501,0.005035467943434509,0.009958568387994098,0.006175995975100698,0.0018288104093696926,0.022998842715899
1000,0.6,332849.2247033119,1977.4806365966797,3247.1958251595497,1658.1862435340881,418.2932103872299,7301.1559156775475,0.005941070279972334,0.009755756012512771,0.004981793918889633,0.001256704776044106,0.021935324987418844
1000,0.7,332849.21879291534,2127.882705807686,2733.0701739415526,1075.69594758749,187.65869623422623,6124.307523570955,0.006392932852672742,0.008211135912690704,0.0032317815000092952,0.0005637949126477581,0.0183996451780205
1000,0.8,332849.2461872101,2048.0410674214363,1896.2074721455574,652.6609588861465,115.94767647981644,4712.857174932957,0.006153059052654491,0.005696895798523278,0.0019608305152028476,0.00034834892314763424,0.01415913428952825
1000,0.9,332849.20358657837,1655.384461760521,1202.343861937523,394.54625511169434,17.66320288181305,3269.937781691551,0.004973376664036193,0.0036122780195409956,0.0011853603699822817,5.306668212357198e-05,0.009824081735683042
