Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.00841	0.02807	-0.02913	0.04958	0.02072	0.05697
225.86207	-0.00587	0.02807	-0.03185	0.04982	0.02597	0.05718
226.72414	-0.01133	0.02702	-0.04154	0.04840	0.03021	0.05543
227.58621	-0.01075	0.02707	-0.03824	0.04847	0.02748	0.05552
228.44828	-0.00885	0.02708	-0.03854	0.04866	0.02969	0.05569
229.31034	-0.00877	0.02714	-0.03753	0.04883	0.02877	0.05586
230.17241	-0.00654	0.02714	-0.03748	0.04905	0.03095	0.05606
231.03448	-0.01733	0.02809	-0.06872	0.05120	0.05139	0.05840
231.89655	-0.01797	0.02818	-0.06562	0.05126	0.04765	0.05850
232.75862	-0.01972	0.02831	-0.06676	0.05154	0.04704	0.05880
233.62069	-0.02463	0.02689	-0.06067	0.04831	0.03604	0.05529
234.48276	-0.02332	0.02692	-0.06587	0.04867	0.04255	0.05562
235.34483	-0.01757	0.02686	-0.06869	0.04896	0.05112	0.05585
236.20690	-0.02016	0.02702	-0.06562	0.04904	0.04545	0.05599
237.06897	-0.02103	0.02713	-0.06349	0.04919	0.04246	0.05617
237.93103	-0.02102	0.02721	-0.06731	0.04961	0.04629	0.05658
238.79310	-0.02353	0.02736	-0.06612	0.04982	0.04258	0.05684
239.65517	-0.01975	0.02735	-0.06734	0.05012	0.04759	0.05710
240.51724	-0.02751	0.02655	-0.06558	0.04771	0.03807	0.05460
241.37931	-0.02471	0.02658	-0.06549	0.04797	0.04079	0.05485
242.24138	-0.02652	0.02789	-0.06959	0.04844	0.04307	0.05590
243.10345	-0.03288	0.02818	-0.06754	0.04862	0.03466	0.05620
243.96552	-0.03280	0.02829	-0.06643	0.04873	0.03363	0.05634
244.82759	-0.03482	0.02850	-0.06345	0.04890	0.02863	0.05660
245.68966	-0.03713	0.02873	-0.06570	0.04905	0.02857	0.05684
246.55172	-0.03711	0.02887	-0.05939	0.04910	0.02227	0.05696
247.41379	-0.03445	0.02759	-0.04674	0.04592	0.01229	0.05357
248.27586	-0.03001	0.02766	-0.05083	0.04643	0.02082	0.05404
249.13793	-0.03030	0.02792	-0.05512	0.04714	0.02483	0.05479
250.00000	-0.04004	0.02998	-0.04679	0.04891	0.00676	0.05737
