Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.02434	0.21963	0.12621	0.22714	-0.10187	0.31596
0.32069	-0.06155	0.23052	0.14635	0.21219	-0.20791	0.31332
0.34138	-0.08688	0.21140	0.01596	0.21782	-0.10284	0.30354
0.36207	0.07714	0.17214	0.03433	0.20527	0.04281	0.26789
0.38276	0.01515	0.17695	0.01887	0.20109	-0.00372	0.26786
0.40345	-0.06141	0.18028	0.05465	0.18422	-0.11606	0.25775
0.42414	-0.10259	0.17893	0.02176	0.18086	-0.12435	0.25441
0.44483	-0.06487	0.16987	-0.00940	0.17841	-0.05548	0.24634
0.46552	-0.04257	0.16220	-0.15516	0.22165	0.11259	0.27466
0.48621	-0.03399	0.15464	-0.01060	0.21239	-0.02339	0.26272
0.50690	0.01068	0.13325	-0.01747	0.18858	0.02816	0.23091
0.52759	-0.01364	0.13290	-0.03434	0.18366	0.02070	0.22670
0.54828	0.06808	0.11949	-0.03656	0.20454	0.10463	0.23688
0.56897	0.10121	0.11333	-0.06201	0.20607	0.16322	0.23518
0.58966	0.01164	0.12132	-0.11929	0.22129	0.13093	0.25236
0.61034	-0.01849	0.12153	-0.10976	0.20985	0.09127	0.24250
0.63103	-0.06449	0.12458	-0.07654	0.20781	0.01205	0.24229
0.65172	-0.05573	0.12037	-0.02825	0.19755	-0.02747	0.23133
0.67241	-0.00768	0.10777	-0.03818	0.19245	0.03050	0.22057
0.69310	-0.04391	0.10950	-0.07860	0.19626	0.03469	0.22474
0.71379	-0.04714	0.11114	-0.13208	0.20588	0.08495	0.23396
0.73448	-0.10922	0.11647	0.04011	0.17252	-0.14933	0.20816
0.75517	-0.12509	0.11642	-0.13869	0.20006	0.01360	0.23147
0.77586	-0.09153	0.11131	-0.12352	0.19413	0.03199	0.22378
0.79655	-0.14152	0.11306	-0.11093	0.20304	-0.03059	0.23240
0.81724	-0.18386	0.11242	0.05196	0.17437	-0.23582	0.20746
0.83793	-0.17414	0.10282	-0.00676	0.16499	-0.16738	0.19440
0.85862	-0.15725	0.09856	0.00361	0.16370	-0.16086	0.19108
0.87931	-0.09796	0.09170	0.03229	0.15757	-0.13025	0.18231
0.90000	-0.16373	0.09487	-0.01563	0.15744	-0.14810	0.18381
