Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.00649	0.09556	-0.16806	0.14538	0.16158	0.17397
0.32069	-0.03601	0.09490	-0.14991	0.13743	0.11390	0.16702
0.34138	-0.09294	0.09192	-0.19444	0.14452	0.10150	0.17127
0.36207	0.00764	0.08084	-0.32185	0.16055	0.32949	0.17975
0.38276	0.04873	0.07521	-0.29886	0.15120	0.34759	0.16888
0.40345	0.03518	0.07401	-0.11403	0.12818	0.14921	0.14801
0.42414	0.02111	0.07283	-0.10698	0.12514	0.12809	0.14479
0.44483	0.02724	0.07044	-0.08232	0.12386	0.10956	0.14249
0.46552	0.02035	0.06846	-0.09048	0.11816	0.11082	0.13656
0.48621	0.03241	0.06541	-0.07084	0.11271	0.10325	0.13032
0.50690	0.05306	0.05869	-0.11692	0.11091	0.16998	0.12548
0.52759	0.04462	0.05779	-0.07518	0.10401	0.11980	0.11899
0.54828	0.00666	0.05906	-0.05804	0.10302	0.06469	0.11875
0.56897	0.02160	0.05742	-0.05627	0.10291	0.07788	0.11785
0.58966	0.00449	0.05792	0.01002	0.10282	-0.00553	0.11801
0.61034	0.00768	0.05662	0.01586	0.09912	-0.00818	0.11415
0.63103	-0.02812	0.05815	0.04986	0.09480	-0.07798	0.11121
0.65172	-0.03451	0.05807	0.05839	0.09373	-0.09290	0.11026
0.67241	-0.04647	0.05632	0.07372	0.08767	-0.12018	0.10420
0.69310	-0.06867	0.05693	0.06566	0.08930	-0.13434	0.10591
0.71379	-0.08384	0.05990	0.00971	0.09596	-0.09355	0.11312
0.73448	-0.02515	0.05685	0.02258	0.09924	-0.04774	0.11437
0.75517	0.00706	0.05475	0.04181	0.09867	-0.03475	0.11284
0.77586	-0.00806	0.05587	0.07980	0.09736	-0.08786	0.11225
0.79655	-0.05339	0.05799	0.06578	0.09919	-0.11917	0.11490
0.81724	-0.03681	0.05577	0.02061	0.10291	-0.05742	0.11705
0.83793	-0.05889	0.05270	0.01719	0.09149	-0.07608	0.10558
0.85862	-0.04274	0.05107	0.06625	0.09040	-0.10898	0.10382
0.87931	-0.02776	0.04957	0.01720	0.09239	-0.04496	0.10485
0.90000	-0.04672	0.04921	0.01910	0.08952	-0.06583	0.10216
