Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	nan	nan	nan	nan	nan	nan
0.32069	nan	nan	nan	nan	nan	nan
0.34138	nan	nan	nan	nan	nan	nan
0.36207	nan	nan	nan	nan	nan	nan
0.38276	nan	nan	nan	nan	nan	nan
0.40345	nan	nan	nan	nan	nan	nan
0.42414	nan	nan	nan	nan	nan	nan
0.44483	nan	nan	nan	nan	nan	nan
0.46552	nan	nan	nan	nan	nan	nan
0.48621	nan	nan	nan	nan	nan	nan
0.50690	nan	nan	nan	nan	nan	nan
0.52759	nan	nan	nan	nan	nan	nan
0.54828	nan	nan	nan	nan	nan	nan
0.56897	nan	nan	nan	nan	nan	nan
0.58966	nan	nan	nan	nan	nan	nan
0.61034	nan	nan	nan	nan	nan	nan
0.63103	nan	nan	0.43651	1.03826	nan	nan
0.65172	nan	nan	0.45932	0.99197	nan	nan
0.67241	nan	nan	0.92448	0.14475	nan	nan
0.69310	nan	nan	0.92449	0.14473	nan	nan
0.71379	nan	nan	0.82359	0.28965	nan	nan
0.73448	0.50000	0.93541	0.66170	0.50225	-0.16170	1.06172
0.75517	0.00000	1.73205	0.66219	0.50156	-0.66219	1.80321
0.77586	0.00000	1.63299	0.95193	0.07794	-0.95193	1.63485
0.79655	0.00000	1.63299	0.92861	0.11093	-0.92861	1.63676
0.81724	0.00000	1.63299	0.77152	0.35687	-0.77152	1.67153
0.83793	-0.33333	2.14303	0.64512	0.54407	-0.97846	2.21102
0.85862	-0.33333	2.14303	0.60043	0.58525	-0.93376	2.22151
0.87931	-0.50000	2.33184	0.20429	1.07385	-0.70429	2.56723
0.90000	-1.16667	3.24537	0.61873	0.47597	-1.78539	3.28008
